WINE_ID,WINE_NM,WINE_AREA_NM,WINE_CTGRY,WINE_PRC
"70","A.P. Vin Clos Pepe Vineyard Pinot Noir 2016","Pinot Noir from Sta. Rita Hills, Santa Barbara, Central Coast, California","red wine","56"
"71","Aalto 2015","Tempranillo from Ribera del Duero, Spain","red wine","49"
"72","Abacela Albarino 2017","Albarino from Umpqua Valley, Oregon","white wine","21"
"73","Abacela Fiesta Tempranillo 2015","Tempranillo from Umpqua Valley, Oregon","red wine","25"
"74","Abacela Barrel Select Estate Tempranillo 2014","Tempranillo from Umpqua Valley, Oregon","red wine","35"
"75","Abadia Retuerta Pago Negralada Tempranillo 2013","Tempranillo from Spain","red wine","120"
"76","Abadia Retuerta Le Domaine Blanco 2016","Other White Blends from Spain","white wine","35"
"77","Abadia Retuerta Seleccion Especial 2014","Other Red Blends from Spain","red wine","30"
"78","Abadia Retuerta Pago Valdebellon Cabernet Sauvignon 2013","Cabernet Sauvignon from Spain","red wine","110"
"79","Abbazia di Novacella Pinot Nero 2017","Pinot Noir from Alto Adige, Trentino-Alto Adige, Italy","red wine","22"
"80","Abbazia di Novacella Gruner Veltliner 2016","Gruner Veltliner from Alto Adige, Trentino-Alto Adige, Italy","white wine","21"
"81","Abbazia di Novacella Pinot Grigio 2016","Pinot Gris/Grigio from Trentino-Alto Adige, Italy","white wine","20"
"82","Abbazia di Novacella Gruner Veltliner 2017","Gruner Veltliner from Alto Adige, Trentino-Alto Adige, Italy","white wine","20"
"83","Abbazia di Novacella Kerner 2017","Other White Wine from Trentino-Alto Adige, Italy","white wine","19"
"84","Abbazia di Novacella Praepositus Kerner 2016","Other White Wine from Trentino-Alto Adige, Italy","white wine","32"
"85","Abbona Bricco Barone Nebbiolo 2013","Nebbiolo from Alba, Piedmont, Italy","red wine","30"
"86","Abeja Cabernet Sauvignon 2014","Cabernet Sauvignon from Columbia Valley, Washington","red wine","53"
"87","Abeja Chardonnay 2015","Chardonnay from Washington","white wine","44"
"88","Abeja Merlot 2014","Merlot from Columbia Valley, Washington","red wine","42"
"89","Abreu Vineyard Cappella 2013","Bordeaux Red Blends from Napa Valley, California","red wine","530"
"90","Abreu Vineyard Madrona Ranch 2007","Bordeaux Red Blends from Napa Valley, California","red wine","480"
"91","Abreu Vineyard Madrona Ranch 2004","Bordeaux Red Blends from Napa Valley, California","red wine","460"
"92","Abreu Vineyard Madrona Ranch 2013","Bordeaux Red Blends from Napa Valley, California","red wine","750"
"93","Acacia Carneros Pinot Noir 2016","Pinot Noir from Carneros, California","red wine","22"
"94","Acacia Carneros Chardonnay 2016","Chardonnay from Carneros, California","white wine","19"
"95","Accordini Igino Le Bessole Amarone della Valpolicella 2013","Other Red Blends from Valpolicella, Veneto, Italy","red wine","65"
"96","Accordini Igino Ripasso Valpolicella 2010","Other Red Blends from Valpolicella, Veneto, Italy","red wine","22"
"97","Achaval-Ferrer Mendoza Cabernet Sauvignon 2016","Cabernet Sauvignon from Mendoza, Argentina","red wine","29"
"98","Achaval-Ferrer Mendoza Malbec 2017","Malbec from Mendoza, Argentina","red wine","29"
"99","Achaval-Ferrer Quimera 2014","Bordeaux Red Blends from Mendoza, Argentina","red wine","37"
"100","Acinum Valpolicella Ripasso 2015","Other Red Blends from Valpolicella, Veneto, Italy","red wine","23"
"101","Acinum Valpolicella 2016","Other Red Blends from Valpolicella, Veneto, Italy","red wine","16"
"102","Acinum Soave Classico 2016","Garganega from Soave, Veneto, Italy","white wine","13"
"103","Acinum Extra Dry Prosecco","Non-Vintage Sparkling Wine from Prosecco, Italy","sparkling & champagne","13"
"104","Acre Cabernet Sauvignon 2013","Cabernet Sauvignon from Napa Valley, California","red wine","42"
"105","Acrobat Rose of Pinot Noir 2017","Rosé from Oregon","pink and rosé","15"
"106","Acrobat Pinot Gris 2017","Pinot Gris/Grigio from Oregon","white wine","15"
"107","Acrobat Pinot Noir 2016","Pinot Noir from Oregon","red wine","20"
"108","Acumen Mountainside Sauvignon Blanc 2017","Sauvignon Blanc from Napa Valley, California","white wine","33"
"109","Acumen Mountainside Cabernet Sauvignon 2015","Cabernet Sauvignon from Napa Valley, California","red wine","65"
"110","Acumen Mountainside Red 2014","Bordeaux Red Blends from Napa Valley, California","red wine","46"
"111","Adami Garbel Brut Prosecco","Non-Vintage Sparkling Wine from Prosecco, Italy","sparkling & champagne","17"
"112","Adami Bosco di Gica Prosecco Superiore","Non-Vintage Sparkling Wine from Valdobbiadene, Prosecco, Italy","sparkling & champagne","19"
"113","Adaptation by Odette Cabernet Sauvignon 2015","Cabernet Sauvignon from Napa Valley, California","red wine","59"
"114","Adaptation by Odette Cabernet Sauvignon 2016","Cabernet Sauvignon from Napa Valley, California","red wine","58"
"115","Adelaida Estate Pinot Noir 2016","Pinot Noir from Adelaida District, Paso Robles, Central Coast, California","red wine","30"
"116","Adelaida Zinfandel 2016","Zinfandel from Adelaida District, Paso Robles, Central Coast, California","red wine","30"
"117","Adelaida Paso Robles Cabernet Sauvignon 2015","Cabernet Sauvignon from Paso Robles, Central Coast, California","red wine","37"
"118","Adelaida Anna's Red 2015","Rhone Red Blends from Paso Robles, Central Coast, California","red wine","36"
"119","Adelaida Keeper Red 2015","Rhone Red Blends from Paso Robles, Central Coast, California","red wine","26"
"120","Adelaida End Post Cabernet Sauvignon 2016","Cabernet Sauvignon from Paso Robles, Central Coast, California","red wine","21"
"121","Adelsheim Pinot Noir 2017","Pinot Noir from Willamette Valley, Oregon","red wine","30"
"122","Adelsheim Breaking Ground Pinot Noir 2015","Pinot Noir from Willamette Valley, Oregon","red wine","47"
"123","Adelsheim Staking Claim Chardonnay 2015","Chardonnay from Chehalem Mountains, Willamette Valley, Oregon","white wine","39"
"124","Adelsheim Pinot Gris 2017","Pinot Gris/Grigio from Willamette Valley, Oregon","white wine","20"
"125","Adelsheim Willamette Valley Chardonnay 2016","Chardonnay from Willamette Valley, Oregon","white wine","25"
"126","Adelsheim Pinot Noir (375ML half-bottle) 2016","Pinot Noir from Willamette Valley, Oregon","red wine","19"
"127","Adelsheim Bryan Creek Vineyard Pinot Blanc 2016","Pinot Blanc from Chehalem Mountains, Willamette Valley, Oregon","white wine","26"
"128","Adelsheim Elizabeth's Reserve Pinot Noir 2014","Pinot Noir from Willamette Valley, Oregon","red wine","52"
"129","Adorada Rose 2016","Rosé from California","pink and rosé","23"
"130","Adorada Pinot Gris 2016","Pinot Gris/Grigio from California","white wine","23"
"131","Adriano Marco e Vittorio Basarin Barbaresco 2014","Nebbiolo from Barbaresco, Piedmont, Italy","red wine","30"
"132","Adzic Grasevina 2017","Other White Wine from Croatia","white wine","22"
"133","AERENA Rose 2017","Rosé from San Francisco Bay, Central Coast, California","pink and rosé","20"
"134","AERENA Chardonnay 2017","Chardonnay from Sonoma County, California","white wine","24"
"135","AERENA Cabernet Sauvignon 2016","Cabernet Sauvignon from Red Hills, Lake County, North Coast, California","red wine","24"
"136","Agharta Farella Cabernet Sauvignon 2013","Cabernet Sauvignon from Carneros, California","red wine","85"
"137","Agnitio Sun Chase Vineyard Chardonnay 2014","Chardonnay from Petaluma Gap, Sonoma Coast, Sonoma County, California","white wine","50"
"138","Agnitio Sauvignon Blanc 2014","Sauvignon Blanc from Napa Valley, California","white wine","32"
"139","Agricola de Borja Vina Borgia 2017","Grenache from Spain","red wine","8"
"140","Agricola Punica Samas 2017","Other White Blends from Sardinia, Italy","white wine","24"
"141","Agricola Punica Barrua Isola dei Nuraghi 2014","Other Red Blends from Sardinia, Italy","red wine","54"
"142","Aia Vecchia Lagone Toscana 2015","Bordeaux Red Blends from Tuscany, Italy","red wine","15"
"143","Aia Vecchia Vermentino 2017","Vermentino from Tuscany, Italy","white wine","14"
"144","Aila by Santa Ema Sauvignon Blanc 2015","Sauvignon Blanc from Leyda Valley, San Antonio Valley, Chile","white wine","15"
"145","Aila by Santa Ema Pinot Noir 2014","Pinot Noir from Leyda Valley, San Antonio Valley, Chile","red wine","17"
"146","Aix Rose 2017","Rosé from Coteaux d'Aix-en-Provence, Provence, France","pink and rosé","0"
"147","Alain Chavy Bourgogne Blanc 2016","Chardonnay from Burgundy, France","white wine","26"
"148","Alain Chavy Puligny-Montrachet Les Charmes 2016","Chardonnay from Puligny-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France","white wine","80"
"149","Alain Chavy Puligny-Montrachet Les Folatieres Premier Cru 2016","Chardonnay from Puligny-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France","white wine","105"
"150","Alain Gras Saint-Romain Blanc 2014","Chardonnay from Burgundy, France","white wine","39"
"151","Alain Gras Saint-Romain Rouge 2013","Pinot Noir from Burgundy, France","red wine","50"
"152","Alain Jaume Chateauneuf-du-Pape Vieux Terron 2016","Rhone Red Blends from Chateauneuf-du-Pape, Rhone, France","red wine","50"
"153","Alain Jaume Terrasses de Montmirail Gigondas 2016","Rhone Red Blends from Gigondas, Rhone, France","red wine","36"
"154","Alain Jaume Chateau Mazane Vacqueyras 2015","Rhone Red Blends from Vacqueyras, Rhone, France","red wine","34"
"155","Alain Jaume Cotes du Rhone Haut de Brun Rouge 2015","Rhone Red Blends from Cotes du Rhone, Rhone, France","red wine","19"
"156","Alain Jaume Domaine du Clos de Sixte Lirac 2014","Rhone Red Blends from Lirac, Rhone, France","red wine","32"
"157","Alain Jaume Ventoux Les Gelinottes 2014","Rhone Red Blends from Rhone, France","red wine","32"
"158","Alain Jaume Chateau Mazane Vacqueyras 2016","Rhone Red Blends from Vacqueyras, Rhone, France","red wine","30"
"159","Alain Jaume Cotes du Rhone Haut de Brun Rouge 2012","Rhone Red Blends from Cotes du Rhone, Rhone, France","red wine","19"
"160","Alain Jaume Rasteau Les Valats 2015","Rhone Red Blends from Rasteau, Rhone, France","red wine","27"
"161","Alain Jaume Domaine du Clos de Sixte Lirac 2013","Rhone Red Blends from Lirac, Rhone, France","red wine","33"
"162","Alain Jaume Domaine Grand Veneur Lirac Clos de Sixte 2007","Rhone Red Blends from Lirac, Rhone, France","red wine","40"
"163","Alain Jaume Ventoux Les Gelinottes 2015","Rhone Red Blends from Rhone, France","red wine","15"
"164","Alain Voge Cornas Vieilles Vignes 2015","Syrah/Shiraz from Cornas, Rhone, France","red wine","85"
"165","Alain Voge Cornas Les Chailles 2014","Syrah/Shiraz from Cornas, Rhone, France","red wine","55"
"166","Alain Voge Cornas Les Chailles 2015","Syrah/Shiraz from Cornas, Rhone, France","red wine","56"
"167","Alain Voge Cotes Du Rhone Les Peyrouses 2014","Syrah/Shiraz from Cotes du Rhone, Rhone, France","red wine","25"
"168","Alamos Chardonnay 2017","Chardonnay from Mendoza, Argentina","white wine","12"
"169","Alamos Cabernet Sauvignon 2017","Cabernet Sauvignon from Mendoza, Argentina","red wine","10"
"170","Alamos Malbec 2017","Malbec from Mendoza, Argentina","red wine","10"
"171","Alamos Malbec Mendoza Seleccion 2016","Malbec from Mendoza, Argentina","red wine","20"
"172","Alamos Red Blend 2017","Other Red Blends from Mendoza, Argentina","red wine","12"
"173","Alamos Torrontes 2017","Torrontes from Salta, Argentina","white wine","10"
"174","Albada Old Vines Garnacha 2014","Grenache from Spain","red wine","16"
"175","Alban Reva Estate Syrah (1.5 Liter Magnum) 2012","Syrah/Shiraz from Edna Valley, Central Coast, California","red wine","330"
"176","Alban Reva Estate Syrah 2007","Syrah/Shiraz from Central Coast, California","red wine","140"
"177","Alban Lorraine Estate Syrah 2013","Syrah/Shiraz from Edna Valley, Central Coast, California","red wine","300"
"178","Alban Pandora 2013","Rhone Red Blends from Edna Valley, Central Coast, California","red wine","300"
"179","Alban Seymour's Vineyard Syrah 2000","Syrah/Shiraz from Central Coast, California","red wine","350"
"180","Alban Lorraine Estate Syrah 2005","Syrah/Shiraz from Edna Valley, Central Coast, California","red wine","300"
"181","Alban Estate Roussanne (Torn Label) 2009","Roussanne from Central Coast, California","white wine","75"
"182","Alban Seymour's Vineyard Syrah 2003","Syrah/Shiraz from Central Coast, California","red wine","365"
"183","Alban Forsythe Vineyard The Mason Mourvedre 2010","Syrah/Shiraz from Edna Valley, Central Coast, California","red wine","230"
"184","Alban Seymour's Vineyard Syrah 2002","Syrah/Shiraz from Central Coast, California","red wine","350"
"185","Alban Pandora 1999","Rhone Red Blends from Edna Valley, Central Coast, California","red wine","240"
"186","Alban Lorraine Estate Syrah 2000","Syrah/Shiraz from Central Coast, California","red wine","300"
"187","Alban Reva Estate Syrah (1.5 Liter Magnum) 2006","Syrah/Shiraz from Edna Valley, Central Coast, California","red wine","650"
"188","Alban Reva Estate Syrah 2006","Syrah/Shiraz from Central Coast, California","red wine","320"
"189","Alban Pandora 2001","Rhone Red Blends from Edna Valley, Central Coast, California","red wine","240"
"190","Alban Forsythe Vineyard The Mason Mourvedre 2011","Mourvedre from Edna Valley, Central Coast, California","red wine","260"
"191","Alban Pandora 2009","Rhone Red Blends from Edna Valley, Central Coast, California","red wine","250"
"192","Albert Bichot Santenay Clos Rousseau Premier Cru 2015","Pinot Noir from Santenay, Cote de Beaune, Cote d'Or, Burgundy, France","red wine","47"
"193","Albert Bichot Pouilly-Fuisse 2016","Chardonnay from Pouilly-Fuisse, Maconnais, Burgundy, France","white wine","34"
"194","Albert Bichot Cote de Nuits Villages 2014","Pinot Noir from Cote de Nuits, Cote d'Or, Burgundy, France","red wine","37"
"195","Albert Bichot Secret de Famille Pinot Noir 2015","Pinot Noir from Burgundy, France","red wine","25"
"196","Albert Bichot Fixin Rouge 2015","Pinot Noir from Fixin, Cote de Nuits, Cote d'Or, Burgundy, France","red wine","40"
"197","Albert Bichot Chablis Domaine Long Depaquit 2017","Chardonnay from Chablis, Burgundy, France","white wine","26"
"198","Albert Bichot Savigny Les Beaune 2015","Pinot Noir from Savigny-les-Beaune, Cote de Beaune, Cote d'Or, Burgundy, France","red wine","45"
"199","Albert Bichot Cremant de Bourgogne Brut Reserve","Non-Vintage Sparkling Wine from Burgundy, France","sparkling & champagne","27"
"200","Albert Bichot Mercurey 2016","Pinot Noir from Mercurey, Cote Chalonnaise, Burgundy, France","red wine","56"
"201","Albert Bichot Puligny Montrachet 2015","Chardonnay from Puligny-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France","white wine","90"
"202","Albert Bichot Chambolle-Musigny Les Chabiots Premier Cru 2016","Pinot Noir from Chambolle-Musigny, Cote de Nuits, Cote d'Or, Burgundy, France","red wine","140"
"203","Albert Bichot Cremant de Bourgogne Brut Rose","Rosé Sparkling Wine from Burgundy, France","sparkling & champagne","25"
"204","Albert Bichot Chablis Domaine Long-Depaquit La Moutonne 2015","Chardonnay from Chablis, Burgundy, France","white wine","158"
"205","Albert Bichot Puligny Montrachet 2016","Chardonnay from Puligny-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France","white wine","90"
"206","Albert Bichot Gevrey-Chambertin Les Evocelles 2013","Pinot Noir from Gevrey-Chambertin, Cote de Nuits, Cote d'Or, Burgundy, France","red wine","70"
"207","Albert Bichot Chablis Domaine Long-Depaquit Les Vaillons Premier Cru 2016","Chardonnay from Chablis, Burgundy, France","white wine","46"
"208","Albert Bichot Montagny Premier Cru 2014","Chardonnay from Montagny, Cote Chalonnaise, Burgundy, France","white wine","33"
"209","Albert Bichot Pommard Les Rugiens Premier Cru Domaine du Pavillon 2016","Pinot Noir from Pommard, Cote de Beaune, Cote d'Or, Burgundy, France","red wine","130"
"210","Albert Bichot Echezeaux Domaine du Clos Frantin Grand Cru 2014","Pinot Noir from Flagey-Echezeaux, Cote de Nuits, Cote d'Or, Burgundy, France","red wine","379"
"211","Albert Bichot Bourgogne Vieilles Vignes Pinot Noir 2016","Pinot Noir from Burgundy, France","red wine","20"
"212","Albert Bichot Montagny Premier Cru 2015","Chardonnay from Montagny, Cote Chalonnaise, Burgundy, France","white wine","47"
"213","Albert Bichot Chateau de Jarnioux Beaujolais 2017","Gamay from Beaujolais, Burgundy, France","red wine","15"
"214","Albert Bichot Mercurey 2015","Pinot Noir from Mercurey, Cote Chalonnaise, Burgundy, France","red wine","48"
"215","Albert Bichot Gevrey Chambertin Les Murots 2016","Pinot Noir from Gevrey-Chambertin, Cote de Nuits, Cote d'Or, Burgundy, France","red wine","86"
"216","Albert Bichot Cremant de Bourgogne Blanc de Blancs ""Pure""","Non-Vintage Sparkling Wine from Burgundy, France","sparkling & champagne","28"
"217","Albert Bichot Bourgogne Vieilles Vignes Chardonnay 2015","Chardonnay from Burgundy, France","white wine","19"
"218","Albert Bichot Chablis Domaine Long Depaquit 2016","Chardonnay from Chablis, Burgundy, France","white wine","29"
"219","Albert Bichot Vosne Romanee Premier Cru Malconsorts 2016","Pinot Noir from Vosne-Romanee, Cote de Nuits, Cote d'Or, Burgundy, France","red wine","199"
"220","Albert Bichot Gevrey-Chambertin Les Evocelles 2015","Pinot Noir from Gevrey-Chambertin, Cote de Nuits, Cote d'Or, Burgundy, France","red wine","80"
"221","Albert Bichot Chablis Domaine Long-Depaquit La Moutonne 2016","Chardonnay from Chablis, Burgundy, France","white wine","155"
"222","Albert Bichot Secret de Famille Chardonnay 2015","Chardonnay from Burgundy, France","white wine","24"
"223","Albert Bichot Macon-Villages 2017","Chardonnay from Macon Villages, Maconnais, Burgundy, France","white wine","18"
"224","Albert Boxler Riesling 2016","Riesling from Alsace, France","white wine","45"
"225","Albert Hertz Riesling 2013","Riesling from Alsace, France","white wine","22"
"226","Alberti 154 Malbec 2015","Malbec from Argentina","red wine","16"
"227","Albino Rocca Barbaresco 2015","Nebbiolo from Barbaresco, Piedmont, Italy","red wine","42"
"228","Alcance Bravura Red Blend 2013","Bordeaux Red Blends from Chile","red wine","50"
"229","Alcance Gran Reserva Carmenere 2015","Carmenere from Chile","red wine","23"
"230","Alcance Gran Reserva Chardonnay 2015","Chardonnay from Chile","white wine","20"
"231","Alcance Gran Reserva Cabernet Sauvignon 2015","Cabernet Sauvignon from Chile","red wine","21"
"232","Alcance Gran Reserva Merlot 2014","Merlot from Chile","red wine","20"
"233","Alchemist Pinot Noir 2016","Pinot Noir from Willamette Valley, Oregon","red wine","27"
"234","Alchemist Chardonnay 2014","Chardonnay from Willamette Valley, Oregon","white wine","26"
"235","Aldo Conterno Conca Tre Pile Barbera d'Alba 2015","Barbera from Alba, Piedmont, Italy","red wine","46"
"236","Aldo Conterno Barolo Bussia 2014","Nebbiolo from Barolo, Piedmont, Italy","red wine","99"
"237","Aldo Conterno Langhe Il Favot Nebbiolo 2015","Nebbiolo from Piedmont, Italy","red wine","60"
"238","Aldo Conterno Colonnello Barolo 2012","Nebbiolo from Barolo, Piedmont, Italy","red wine","150"
"239","Aldo Conterno Colonnello Barolo 2014","Nebbiolo from Barolo, Piedmont, Italy","red wine","175"
"240","Aldo Conterno Barolo Granbussia Riserva 2000","Nebbiolo from Barolo, Piedmont, Italy","red wine","320"
"241","Aldo Conterno Langhe Rosso 2015","Other Red Blends from Piedmont, Italy","red wine","29"
"242","Aldo Conterno Langhe Rosso 2013","Other Red Blends from Piedmont, Italy","red wine","30"
"243","Aldo Conterno Romirasco Barolo 2014","Nebbiolo from Barolo, Piedmont, Italy","red wine","220"
"244","Aldo Conterno Barolo Bussia 2013","Nebbiolo from Barolo, Piedmont, Italy","red wine","80"
"245","Aldo Conterno Langhe Rosso 2014","Other Red Blends from Piedmont, Italy","red wine","30"
"246","Aldo Conterno Langhe Il Favot Nebbiolo 2013","Nebbiolo from Piedmont, Italy","red wine","57"
"247","Alex Gambal Meursault Clos du Cromin 2016","Chardonnay from Meursault, Cote de Beaune, Cote d'Or, Burgundy, France","white wine","80"
"248","Alex Gambal Charmes-Chambertin Grand Cru 2016","Pinot Noir from Gevrey-Chambertin, Cote de Nuits, Cote d'Or, Burgundy, France","red wine","240"
"249","Alex Gambal Puligny-Montrachet 2016","Chardonnay from Puligny-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France","white wine","80"
"250","Alex Gambal Batard-Montrachet Grand Cru 2016","Chardonnay from Puligny-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France","white wine","440"
"251","Alex Gambal St-Aubin Les Murgers Dents de Chien Premier Cru (1.5 Liter Magnum) 2016","Chardonnay from St-Aubin, Cote de Beaune, Cote d'Or, Burgundy, France","white wine","130"
"252","Alex Gambal Corton-Charlemagne Grand Cru 2016","Chardonnay from Cote de Beaune, Cote d'Or, Burgundy, France","white wine","190"
"253","Alexakis Assyrtiko 2017","Assyrtiko from Greece","white wine","17"
"254","Alexana Willamette Valley Pinot Gris 2015","Pinot Gris/Grigio from Willamette Valley, Oregon","white wine","29"
"255","Alexana Terroir Selection Chardonnay 2015","Chardonnay from Willamette Valley, Oregon","white wine","35"
"256","Alexander Valley Vineyards Cabernet Sauvignon 2016","Cabernet Sauvignon from Alexander Valley, Sonoma County, California","red wine","25"
"257","Alexander Valley Vineyards Estate Chardonnay 2017","Chardonnay from Alexander Valley, Sonoma County, California","white wine","19"
"258","Alexander Valley Vineyards Dry Rose of Sangiovese 2017","Rosé from Sonoma County, California","pink and rosé","16"
"259","Alexander Valley Vineyards Temptation Zinfandel 2015","Zinfandel from Sonoma County, California","red wine","11"
"260","Alexander Valley Vineyards Sin Zin Zinfandel 2014","Zinfandel from Alexander Valley, Sonoma County, California","red wine","20"
